"PARTIDUL SOCIAL DEMOCRAT","#ff0000","#aa0000","PSD"
"ALIANȚA PENTRU UNIREA ROMÂNILOR","#ffdd00","#aa9300","AUR"
"PARTIDUL NAȚIONAL LIBERAL","#0055ff","#0039aa","PNL"
"UNIUNEA SALVAȚI ROMÂNIA","#00d4ff","#008eaa","USR"
"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA","#00aa00","#006600","UDMR"
"PARTIDUL S.O.S. ROMÂNIA","#bebeff","#00ddaa","SOS"
"FORȚA DREPTEI","#00ff00","#005539","FD"
"UNIUNEA UCRAINENILOR DIN ROMÂNIA","#ff9700","#dddddd","UUR (min. ucraineană)"
"UNIUNEA SÂRBILOR DIN ROMÂNIA","#660000","#dddddd","USR (min. sârbă)"
"UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA","#df0094","#b7007a","UDSCR (min. ceho-slovacă)"
"COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA","#09887c","#dddddd","CRLR (min. lipoveană)"
"UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA","#4bdfc0","#dddddd","UBBR (min. bulgară)"
"UNIUNEA CROAȚILOR DIN ROMÂNIA","#aa00ff","#7100aa","UCR (min. croată)"
"UNIUNEA POLONEZILOR DIN ROMÂNIA","#ff8585","#dddddd","UPR (min. polonă)"
"MARINICĂ CAZACU-CANDIDAT INDEPENDENT","#555555","#dddddd","Marinică Cazacu (IL, indep.)"
"DORIN CURTEAN-CANDIDAT INDEPENDENT","#999999","#dddddd","Dorin Curtean (BH, indep.)"
